t,x,y,z,vx,vy,vz
0.5479999999999999,19904612.70847049,97792.50870396626,-8439825.73317911,143326045.88958365,136461182.4282693,-215417727.37781277
0.5519999999999999,20053967.48834066,103446.63018119264,-8367633.055621297,86292862.7177153,273438041.0522856,-57926987.60290189
0.5559999999999999,20259808.90774754,105853.51335192993,-8239985.722615168,90619503.00590143,-277577322.7118857,-17622374.1388819
0.5599999999999999,20533606.313838203,113456.93937137586,-8086012.915708006,8328163.859614922,-243833210.30123332,161395687.23694366
0.564,20860320.52594529,112724.99944812251,-7886753.167359747,71414630.37856123,-270919181.4286497,84118843.59713902
0.568,21234908.993280474,108062.89610082968,-7643555.610713252,207333717.5605768,-185778277.7185985,-89849006.1246829
0.572,21650701.083594885,108765.31422709319,-7355598.90976949,253152493.1752812,91298046.86923707,-114684150.20791693
0.576,22092264.453811456,120220.99896166078,-7011697.923615537,109506612.38981533,254086358.38702232,94987247.23035441
0.58,22541378.231108252,132625.24465200622,-6601867.191620197,-52475883.53945947,39837023.25356918,285015010.31524384
0.584,22992468.767669514,125860.17683618335,-6133012.744351858,131278633.59967709,-237951779.17625365,108255257.14117317
0.588,23458880.161977872,125989.27068637585,-5626059.776026395,187881390.7207376,211788860.1903952,73623582.11598743
0.592,23877761.44679362,130850.88575104323,-5038317.929283112,157710677.81383124,-217522574.70479828,115696442.45475098
0.596,24280614.17765338,140569.29923523506,-4407052.526635754,32965767.67500901,-208668224.07702103,202349305.84341633
0.6,24649150.182462543,129921.14372492624,-3727721.0880883015,278680216.37738585,-27570548.272575535,84567272.49995649
0.604,24948629.17193921,144008.9815144658,-2994695.6511881067,62605306.21835852,-212518780.86757725,191025580.66406348
0.608,25210742.42655564,137530.85599336232,-2231110.330888024,218990597.80108395,121345345.28975326,151303865.5820503
0.612,25388720.573143467,142387.94801307344,-1431839.9507527212,158574409.65591964,166093106.29542375,181222723.29505745
0.616,25479144.13069827,140139.99664790416,-611352.5795565267,221167102.47529122,3027699.6303534554,191442911.33516848
0.62,25487213.683065195,151318.49743176045,215980.9574233409,26769858.573345438,-203876264.8405767,208067991.82095456
0.624,25431963.557105873,164174.73627204515,1040181.2980757204,-207632738.8459853,-95924029.58726647,182377837.74084815
0.628,25296297.00103887,166007.19472319,1850503.1397085497,-246919545.42842385,-25356430.583099376,154797424.87910706
0.632,25074422.960292727,157727.1288000778,2632119.7082723086,-107547794.89568685,-206346544.67219076,177282354.36099088
0.636,24814698.864960767,156188.0892906802,3389122.134531808,-100500318.44693182,213533450.21423554,172851426.0315221
0.64,24476566.193329208,156832.4796357542,4096256.2495875717,-139979634.0852128,212049232.0633006,144966538.96172482
0.644,24077168.016242106,145293.9742355139,4744963.2115720175,40255036.0892057,-149899719.21476057,247959857.17545533
0.648,23668539.162849158,145327.49863645708,5356811.7819726495,2107144.4463339658,182855675.9786526,228328415.51559988
0.652,23223526.956259064,144783.90138547547,5904326.279294038,-27026515.609140284,205973181.08671135,205959098.92112488
0.6559999999999999,22761070.56445462,138187.5187377239,6388903.693104116,53519859.162788965,48006886.96454335,283558720.8611864
0.6599999999999999,22296049.341966145,142346.12298728296,6812190.810580903,-59244917.423205316,-237377235.34168845,160364448.2315543
0.6639999999999999,21854012.465059202,151965.11120276654,7192224.136262402,-266484695.49415252,-45972789.53700796,-111567094.83503959
0.6679999999999999,21435359.548601758,140176.18246199322,7520917.371921892,-89595505.00205383,262184047.8857365,93846703.62082729
0.6719999999999999,21035696.97732941,131470.7743409407,7779236.342169746,37407455.80109068,-129978589.0982858,259387049.57171345
0.6759999999999999,20686058.348952487,145155.26561952295,8001011.751450712,-217987386.5486331,-81436962.83534144,-177272285.49928808
0.6799999999999999,20388185.259923425,127757.88380881616,8180184.599668611,64722793.0324146,75569701.97844657,275094390.18714476
0.6839999999999999,20147875.87457307,136848.50511815565,8318170.049144466,-94016358.7247058,273269111.29049313,-45417593.24016671
0.688,19967942.91583023,129521.87486316526,8411061.328020494,30957149.92395185,246825842.60865745,153941234.61213464
0.692,19853988.70073566,140990.85936299525,8463213.082648778,-145281478.497721,74851000.48572415,-242634565.06150225
0.696,19811554.062705226,125587.46809611014,8481027.254189473,127455904.27933979,-31291150.940856464,261454764.53986084
0.7,19841672.373807475,141900.40319014378,8466028.625672491,-112346386.493793,-33989158.66990276,-267969405.21857554
0.704,19940207.811535798,130431.43828793225,8410314.117300302,112428269.46546198,-234546694.32337075,133917926.32032531
0.708,20108627.55546123,135585.35710661067,8321222.20644917,70162502.3238652,-283938410.6380862,6628398.984454704
0.712,20348177.342924614,132137.0577336445,8205694.735974601,175412838.57640478,169530440.0011783,161488857.95256492
0.716,20633651.47802096,144209.5419468429,8026254.119892832,29064596.457849864,-257641131.2073384,-135521336.24701795
0.72,20983129.54371582,151554.85815506236,7823044.126674087,-39039590.32512395,128276353.99370135,-260021950.3644607
0.724,21372508.184347555,145631.86732973947,7565456.435722733,128483236.86667286,261078059.40080962,-30348359.384478282
0.728,21789537.33433228,142167.4819919599,7248042.474446752,261027104.0387181,71110661.99406251,111351206.51825172
0.732,22228196.20995245,147637.6638052172,6875327.913480292,238187106.16138917,-164171769.74176204,43653778.41576312
0.736,22682485.17989794,157498.64767636862,6450787.879416382,134994584.87758613,-241847510.79464096,-94220256.61085169
0.74,23140100.08737978,163560.81897250883,5971045.707428921,98141655.0174592,-235661034.80692437,-142910328.23079252
0.744,23588775.194853578,160809.77493569264,5434646.493988929,219852270.61663637,-184227398.75493747,-57589485.66531119
0.748,24028482.07501579,167599.22240032686,4850047.532099391,162984953.50862426,214234835.08916602,-114589118.5268046
0.752,24404251.834238306,168213.81275244174,4191564.258592431,216362506.1751658,-168575761.14408022,-101788104.57854861
0.756,24752878.094349604,168818.28046275448,3494386.587252491,262528627.6939163,-81231512.03659032,-100356912.81390168
0.76,25043570.705198497,192933.87662309562,2751888.3464048672,-132419093.41670834,-42122884.28621758,-257453300.16698188
0.764,25258687.06386413,185349.4760928961,1970122.5415707654,48218798.53298377,-208836537.44063517,-199132138.36036944
0.768,25409994.72442933,191463.16394283233,1164387.245581881,-33835276.54980761,-197415568.37955442,-213245473.33729398
0.772,25494247.09625164,201458.44268984662,342725.47233780334,-198040028.63232324,7959959.054242659,-215193294.84415963
0.7759999999999999,25498034.68212385,191241.86761727996,-485965.47085628286,-537955.0365974698,206651378.38404298,-207090052.52349705
0.7799999999999999,25403505.756632924,182306.84267897654,-1307047.7190743955,162200264.82077813,68928184.87492752,-233519494.70727718
0.7839999999999999,25238604.781597324,182497.5485482025,-2110110.8925122437,145908772.27661443,55281352.633744165,-247479254.16385382
0.7879999999999999,25009497.05593745,197309.83626785062,-2886945.288478892,-149991168.22764662,193588527.21927458,-160054726.8022851
0.7919999999999999,24699945.79811946,181260.33186572162,-3619708.888841338,114191555.31858325,-16383957.149159513,-268855435.5775912
0.7959999999999999,24354385.618494645,184809.9225838633,-4315513.391238864,9117161.305450967,185665156.62301597,-225913096.06789157
0.7999999999999999,23945545.935630832,179210.8853402561,-4948925.269348029,67266292.97943309,-93303854.38804826,-269000094.2012221
0.8039999999999999,23523362.932802618,194442.10378459058,-5539983.675285914,-261098320.18171337,130407444.63442087,-20322446.338242743
0.8079999999999999,23062434.764545403,188676.97795129174,-6058868.873041208,-205454545.4426968,-204415429.50277853,-39927860.59003984
0.8119999999999999,22603285.939900678,178881.0366370686,-6527792.188880172,-78741468.7471949,-240991578.20337766,-145994423.45381552
0.816,22148875.841150142,173681.06586292648,-6940860.040317467,-35136814.20074412,-224118711.75457475,-184737210.872715
0.82,21708669.39806824,170502.1053485907,-7297707.052050825,-25050986.218553092,-223048707.4351652,-187652642.97487822
0.824,21293615.57494805,168338.29194251902,-7600721.6752356365,-28170303.422015876,-236603956.70731467,-169755875.17091987
0.828,20913817.38725062,167980.33600993204,-7852769.435884693,-56041299.79362139,-266571953.67718527,-106729730.80293731
0.832,20579576.20448281,171891.23601639376,-8058939.608529979,-148582328.92939234,-239615045.767539,78108987.28016694
0.836,20303648.62893901,171706.1801749592,-8231152.171702692,-163837215.3528576,194957978.51116675,144023389.361828
0.84,20074778.235272292,161617.6517479313,-8339436.323947264,190415.2763201138,-270183982.69416124,-112230821.95531006
0.844,19917075.72734732,161653.37076209154,-8420485.505838607,1551117.4117222596,-282695582.3520595,-75349010.21044813
0.848,19834355.31491144,157940.9810507459,-8477229.239096858,70844136.17239295,219250839.73467767,-180301348.89819938
0.852,19811055.64657348,168453.6550066154,-8475289.229693348,-76342987.67419024,-225748245.30795354,169734253.01449466
0.856,19869231.13374223,157439.3780014154,-8457803.21327455,132861832.63968937,150579670.1327335,-212780493.32837462
0.86,19994697.320660513,166119.4382423919,-8398568.718479058,30224220.151420455,289073415.6256489,33566724.57239816
0.864,20180946.084655922,159809.02998490387,-8289332.3294615345,187327925.01636478,-69556397.45828004,-213717519.74689752
0.868,20435645.984092005,162041.1367480926,-8151743.356844404,208571096.7157326,34335590.166147694,-202299861.63693675
0.872,20748910.524163023,175669.15919845115,-7974960.365897272,41738395.663210176,265169442.6273476,116404035.61294682
0.876,21098787.59363338,180133.2987032602,-7732821.317358754,39304838.83162751,-247940907.53679574,150292314.04851902
0.88,21505800.918725356,174734.2806999228,-7466961.149770382,208692811.4910767,192681878.61547008,-70204592.54290092
0.884,21928147.024989557,192555.92205894238,-7128147.94096889,-22292521.295631453,-142028856.98140544,254830806.33591017
0.888,22384156.957001463,181515.3923760633,-6750989.590770647,257939722.26154706,125701484.03596313,-57221143.2796154
0.892,22834746.978952732,201010.23095441321,-6301582.518912607,-5729890.513356427,-171583294.73884836,236927083.3485446
0.8959999999999999,23303211.61532059,200710.59090080188,-5813556.253413668,82790541.89945894,233490451.04448417,155679429.5781698
0.8999999999999999,23742415.414378297,195783.50666899746,-5253893.26441332,255907789.7393131,137125837.4237066,36275151.04540079
0.9039999999999999,24160944.40344428,204466.12154685758,-4642236.775133915,175534400.52315745,205815900.14751098,111515410.0359025
0.9079999999999999,24523722.3270072,221030.76890895868,-3967715.2848801054,-55718148.47168859,-145542267.0061274,247631067.68208298
0.9119999999999999,24858052.021669116,228189.4428517044,-3256279.029138472,-123815015.31410393,2739817.2255966393,265085934.8322156
0.9159999999999999,25122307.961011473,211162.4950885938,-2498354.992283528,243763858.50518376,-84901668.54793821,137764695.67621976
0.9199999999999999,25329034.07261907,213568.56628352826,-1710118.0258367707,242444313.35142148,36853223.32602819,159595810.92181006
0.9239999999999999,25446040.856149636,218578.59330768933,-895493.7884291634,181186443.24300116,-130831003.52164604,188846374.4533168
0.9279999999999999,25491817.21346788,236821.7926677,-70109.54370525568,-136956779.54809037,-152901831.40532535,208499654.17979228
0.9319999999999999,25474989.649088208,238088.5085241096,757680.633910899,-155649081.28444552,154621729.16210568,193581308.69898206
0.9359999999999999,25364232.082381383,227830.74181377466,1575347.580697562,24316684.63607815,198493592.54583398,213581916.21265164
0.94,25176009.043536995,230909.50612259092,2371074.042450009,-53704527.00186619,210460828.4287232,196036501.98772764
0.944,24901012.004639596,238179.41158313016,3128184.1709153526,-220080230.27764478,-144068867.11678436,128129254.28188254
0.948,24594029.825206544,237752.97248359545,3855522.851532881,-255286971.63915277,109574867.65915804,91815956.51302895
0.952,24210679.42656264,226517.39447728675,4522671.169346454,-99587920.78003776,-223587938.92579603,160308919.3606213
0.956,23801840.7013314,225987.56444795383,5144695.933818428,-147362415.28234956,-223437341.35557425,118187813.76256736
0.96,23375958.01605775,228887.34654076918,5720504.345236523,-262688417.50724655,128478541.81056336,9816908.228361137
0.964,22913563.20955626,209112.2987380956,6222337.407698301,33610356.451018594,-128489546.5306157,260708907.76357552
0.968,22464174.108257025,216534.18041662336,6683464.877843829,-165369828.92615578,235588171.88327944,52530533.80450946
0.972,22002106.40998022,216728.09947811745,7065988.247473446,-226317760.29612353,-178493658.1979409,-50287426.47166059
0.976,21570058.71141484,198972.15370809485,7406196.688027033,31791779.061537918,-127996772.17179756,261179707.16772413
0.98,21172485.175164077,200475.37972023975,7702665.218924167,-46955077.339641765,251214892.3259244,142461696.03040096
0.984,20803970.019610777,207960.50014820977,7935980.3835486965,-215214840.76944947,125452780.03854789,-153472092.45631427
0.988,20482228.86433226,205774.8768819402,8120901.133392501,-205854921.07393944,-84861133.34416582,-189822427.1350651
0.992,20220906.38699787,203790.30473309814,8271577.770988331,-192299308.09589797,51678882.387125276,-214386261.4127483
0.996,20019838.67762189,186699.93743279573,8379552.200151241,81640662.24862415,98417485.32461968,263175404.5192135
1.0,19885933.74494616,188042.25545303005,8451382.064894821,59918393.70316341,217288854.48433813,186572795.84434792
